mem	age
41232	3720
0	NA
0	NA
0	NA
0	NA
4925	3284
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
19	626
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
1	2
0	NA
0	NA
0	NA
0	NA
2	550
1	1
0	NA
0	NA
0	NA
1	1
1	7
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
39	2
0	NA
0	NA
0	NA
0	NA
1	6
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
1	22
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
74	1838
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
111	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
38	491
0	NA
0	NA
0	NA
0	NA
1	2
0	NA
0	NA
0	NA
560	1
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
3	7
0	NA
0	NA
0	NA
1	4
0	NA
1	9
0	NA
1	2
0	NA
0	NA
0	NA
0	NA
0	NA
32	1478
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
1	3
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
4	-1
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
49	527
1	77
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
67	1038
0	NA
44	177
9	8
0	NA
0	NA
0	NA
0	NA
9	8
0	NA
0	NA
0	NA
0	NA
0	NA
8	2
0	NA
1	3
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
2	2
0	NA
0	NA
2	2
1	2
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
1	2
0	NA
0	NA
0	NA
0	NA
2	1
0	NA
0	NA
0	NA
0	NA
9	9
1	3
4	8
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
69	353
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
60	2188
0	NA
0	NA
0	NA
0	NA
1	NA
0	NA
0	NA
0	NA
0	NA
21	23
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
0	NA
1	2
0	NA
0	NA
0	NA
53	303
1	2
0	NA
0	NA
0	NA
0	NA
0	NA
2	1
0	NA
0	NA
0	NA
0	NA
0	NA
28	1
0	NA
0	NA
0	NA
0	NA
0	NA
1	4
0	NA
0	NA
0	NA
