old	new	diff
0	0	0
16	25	9
0	0	0
1	55	54
0	3	3
729	730	1
0	0	0
0	1	1
0	0	0
1	3	2
0	2	2
0	0	0
0	0	0
0	0	0
0	1	1
0	2	2
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	3	3
0	0	0
0	2	2
0	0	0
0	0	0
0	14	14
0	57	57
0	0	0
0	0	0
0	1	1
1	3	2
0	2	2
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
1	13	12
0	0	0
0	1	1
0	24	24
0	4	4
0	0	0
0	0	0
0	10	10
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	29	29
0	0	0
0	0	0
0	3	3
0	0	0
0	0	0
0	0	0
0	47	47
0	2	2
5	17	12
37150	40789	3639
0	0	0
0	3	3
0	4	4
0	0	0
0	0	0
0	0	0
0	0	0
0	3	3
0	2	2
0	0	0
0	18	18
0	0	0
58	55	-3
0	0	0
0	0	0
20	30	10
0	0	0
0	2	2
0	0	0
19	28	9
0	1	1
0	0	0
0	1	1
0	0	0
0	0	0
4	11	7
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	15	14
66	71	5
0	0	0
0	0	0
0	0	0
0	43	43
0	0	0
0	0	0
0	6	6
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	7	7
0	0	0
0	0	0
0	4	4
0	0	0
0	9	9
0	2	2
0	2	2
0	7	7
348	339	-9
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
1	32	31
0	0	0
0	0	0
0	0	0
0	0	0
4	29	25
0	1	1
0	0	0
0	0	0
1	4	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	1	0
0	0	0
0	0	0
2	1	-1
0	1	1
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
1	47	46
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	20	20
2	13	11
0	1	1
0	0	0
0	44	44
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
147	160	13
0	0	0
0	0	0
0	34	34
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	3	3
0	1	1
3	3	0
2041	2108	67
0	0	0
0	39	39
84	138	54
0	0	0
0	0	0
0	1	1
0	0	0
0	7	7
0	6	6
0	0	0
0	9	9
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	1	1
5	11	6
0	0	0
0	0	0
1	25	24
0	0	0
0	0	0
0	0	0
4	4	0
0	0	0
5	7	2
0	5	5
0	0	0
0	0	0
1	1	0
0	0	0
0	0	0
0	1	1
0	3	3
1	3	2
0	0	0
21	24	3
0	1	1
0	1	1
46	120	74
0	0	0
0	0	0
0	0	0
0	15	15
0	0	0
0	0	0
0	0	0
0	0	0
3	12	9
0	3	3
0	11	11
0	0	0
0	12	12
0	0	0
0	0	0
0	0	0
0	0	0
0	4	4
3	28	25
0	0	0
17	17	0
3	59	56
0	0	0
0	1	1
1	7	6
0	0	0
0	5	5
0	0	0
0	1	1
0	0	0
0	42	42
0	2	2
2	65	63
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	7	7
0	0	0
0	2	2
0	0	0
0	2	2
0	0	0
2	2	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
4	7	3
0	0	0
0	0	0
0	0	0
0	0	0
1	7	6
0	3	3
0	1	1
0	2	2
0	0	0
0	1	1
0	0	0
44	45	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
7	244	237
0	0	0
0	0	0
0	4	4
1	14	13
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	18	18
0	0	0
0	0	0
0	4	4
0	0	0
0	2	2
0	2	2
0	0	0
0	0	0
1	8	7
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	10	10
16	17	1
49	52	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
3	6	3
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	3	3
69	75	6
0	1	1
2	7	5
0	0	0
0	0	0
3	28	25
0	24	24
0	0	0
0	3	3
0	0	0
0	0	0
3	3	0
0	0	0
0	2	2
0	0	0
1906	1950	44
0	0	0
5	6	1
0	0	0
11	53	42
0	4	4
0	6	6
4	16	12
1	25	24
0	0	0
0	3	3
0	0	0
0	0	0
274	282	8
0	0	0
0	1	1
0	0	0
0	1	1
0	0	0
0	0	0
1	3	2
0	3	3
0	0	0
0	2	2
0	0	0
0	0	0
0	3	3
0	1	1
0	3	3
0	0	0
0	4	4
1	68	67
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
5	7	2
0	0	0
0	2	2
0	0	0
0	0	0
0	10	10
0	0	0
0	0	0
0	55	55
1	2	1
0	0	0
0	0	0
0	0	0
0	5	5
0	0	0
0	0	0
40	40	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	30	30
0	0	0
0	0	0
2	3	1
41232	43573	2341
0	0	0
0	0	0
0	1	1
0	1	1
4925	5442	517
0	0	0
0	4	4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
19	23	4
0	7	7
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
1	6	5
0	2	2
0	0	0
0	5	5
0	0	0
2	2	0
1	31	30
0	0	0
0	0	0
0	0	0
1	2	1
1	1	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	62	62
39	22	-17
0	0	0
0	0	0
0	0	0
0	2	2
1	1	0
0	21	21
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
1	1	0
0	1	1
0	0	0
0	0	0
0	0	0
0	1	1
0	4	4
0	1	1
0	3	3
74	80	6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	1	1
0	0	0
0	1	1
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	9	9
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	1	1
0	1	1
111	101	-10
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	22	22
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
38	38	0
0	0	0
0	0	0
0	0	0
0	0	0
1	133	132
0	1	1
0	0	0
0	0	0
560	586	26
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	20	20
0	2	2
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	1	1
0	0	0
0	8	8
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
3	11	8
0	2	2
0	0	0
0	0	0
1	4	3
0	0	0
1	15	14
0	0	0
1	49	48
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
32	32	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	3	3
0	0	0
0	2	2
0	5	5
0	2	2
1	2	1
0	2	2
0	2	2
0	1	1
0	1	1
0	1	1
0	0	0
0	7	7
0	0	0
0	1	1
0	8	8
0	0	0
0	1	1
0	0	0
0	1	1
0	63	63
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	3	3
0	0	0
0	23	23
0	0	0
0	0	0
0	9	9
0	0	0
0	13	13
0	2	2
4	46	42
0	0	0
0	6	6
0	2	2
0	2	2
0	6	6
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	69	69
0	0	0
0	1	1
49	44	-5
1	1	0
0	0	0
0	59	59
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	7	7
0	1	1
0	7	7
67	69	2
0	0	0
44	68	24
9	8	-1
0	0	0
0	0	0
0	0	0
0	0	0
9	9	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
8	27	19
0	4	4
1	9	8
0	0	0
0	0	0
0	34	34
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	9	9
0	7	7
0	0	0
2	7	5
0	0	0
0	0	0
2	62	60
1	9	8
0	0	0
0	0	0
0	73	73
0	0	0
0	0	0
0	0	0
0	19	19
0	0	0
1	64	63
0	0	0
0	24	24
0	8	8
0	0	0
2	33	31
0	3	3
0	0	0
0	1	1
0	0	0
9	9	0
1	1	0
4	3	-1
0	8	8
0	0	0
0	0	0
0	58	58
0	0	0
0	1	1
69	100	31
0	53	53
0	0	0
0	0	0
0	0	0
0	0	0
0	11	11
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
60	61	1
0	0	0
0	1	1
0	0	0
0	1	1
1	7	6
0	0	0
0	0	0
0	0	0
0	0	0
21	24	3
0	0	0
0	0	0
0	0	0
0	0	0
0	13	13
0	2	2
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	8	7
0	7	7
0	3	3
0	0	0
53	60	7
1	4	3
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
2	51	49
0	0	0
0	0	0
0	0	0
0	3	3
0	0	0
28	65	37
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
1	1	0
0	0	0
0	0	0
0	38	38
